Date,Close/Last,Volume,Open,High,Low
05/07/2021,$9.51,38244970,$9.32,$9.79,$9.14
05/06/2021,$9,39586270,$9.33,$9.4,$8.93
05/05/2021,$9.17,15834150,$9.41,$9.57,$9.08
05/04/2021,$9.39,35222380,$9.625,$9.75,$9.05
05/03/2021,$9.71,31251230,$10.11,$10.12,$9.61
04/30/2021,$10.03,27741040,$10.07,$10.18,$9.88
04/29/2021,$10.2,37782920,$10.95,$11.04,$10.09
04/28/2021,$10.85,39720470,$10.85,$11.39,$10.65
04/27/2021,$11.46,51629820,$11.68,$12.223,$11.22
04/26/2021,$11.5,78592890,$10.69,$11.96,$10.57
04/23/2021,$10.16,27595210,$10.09,$10.38,$9.96
04/22/2021,$9.99,49923510,$9.95,$10.65,$9.79
04/21/2021,$9.78,23598230,$9.25,$9.81,$9.14
04/20/2021,$9.28,27008910,$9.7,$9.71,$9.01
04/19/2021,$9.66,32814330,$9.48,$9.81,$9.38
04/16/2021,$9.33,40696680,$10,$10.03,$9.09
04/15/2021,$9.9,45198900,$9.88,$10.23,$9.58
04/14/2021,$9.35,51166340,$9,$9.81,$8.9
04/13/2021,$8.84,44049130,$8.66,$9.12,$8.3101
04/12/2021,$8.62,51269800,$9.44,$9.49,$8.51
04/09/2021,$9.42,29254600,$9.6,$9.74,$9.24
04/08/2021,$9.79,33408680,$10.01,$10.01,$9.5
04/07/2021,$9.85,28804330,$10.07,$10.18,$9.85
04/06/2021,$10.2,44066950,$10.4,$10.5,$10
04/05/2021,$10.61,96082320,$10.1,$11.25,$9.72
04/01/2021,$9.36,77473910,$10.23,$10.26,$9.15
03/31/2021,$10.21,29832330,$10.4,$10.47,$10.05
03/30/2021,$10.35,39020490,$10.31,$10.52,$9.76
03/29/2021,$10.35,37330710,$10.32,$10.76,$10.09
03/26/2021,$10.24,84633070,$11.27,$11.53,$10.01
03/25/2021,$10.94,131192800,$8.96,$11.315,$8.95
03/24/2021,$9.02,81850720,$10.82,$11.21,$8.93
03/23/2021,$10.66,87923240,$11.46,$11.93,$10.37
03/22/2021,$12.49,88760140,$13.15,$13.19,$11.76
03/19/2021,$13.93,153206000,$14.14,$14.18,$13.28
03/18/2021,$14,122212300,$14.34,$14.54,$13.57
03/17/2021,$13.56,78053640,$13.24,$13.66,$13
03/16/2021,$13.02,125967600,$13.62,$13.62,$12.34
03/15/2021,$14.04,278969200,$12.18,$14.49,$11.85
03/12/2021,$11.16,111146700,$10.16,$11.4,$9.94
03/11/2021,$10.28,83933590,$10.65,$10.87,$9.9
03/10/2021,$9.85,261918600,$11.02,$12.47,$9.51
03/09/2021,$10.5,150415600,$9.38,$10.77,$9.22
03/08/2021,$9.29,114343800,$8.53,$9.48,$8.31
03/05/2021,$8.05,59734130,$8.08,$8.27,$7.63
03/04/2021,$8.03,77822640,$8.25,$8.59,$7.5
03/03/2021,$8.58,55651870,$8.95,$9.14,$8.5
03/02/2021,$8.93,78135440,$9.14,$9.4,$8.51
03/01/2021,$9.18,143586500,$8.86,$9.445,$8.42
02/26/2021,$8.01,137028000,$8.19,$9.01,$7.6301
02/25/2021,$8.29,445717400,$10.89,$11,$7.85
02/24/2021,$9.09,376881800,$7.23,$9.83,$6.99
02/23/2021,$7.7,264876400,$6.97,$7.86,$6.01
02/22/2021,$6.55,173409000,$5.93,$6.68,$5.75
02/19/2021,$5.7,40249110,$5.54,$5.77,$5.51
02/18/2021,$5.51,130540800,$5.84,$6.25,$5.46
02/17/2021,$5.55,38849050,$5.58,$5.62,$5.32
02/16/2021,$5.65,61165710,$6.03,$6.05,$5.49
02/12/2021,$5.59,46773030,$5.72,$5.97,$5.52
02/11/2021,$5.61,55920390,$5.62,$5.85,$5.47
02/10/2021,$5.8,152810800,$5.71,$6.59,$5.45
02/09/2021,$5.5,102588100,$5.81,$5.81,$5.26
02/08/2021,$6.18,128756000,$6.88,$6.89,$5.75
02/05/2021,$6.83,197097600,$7.17,$8.27,$6.52
02/04/2021,$7.09,162985800,$8.7,$8.74,$7
02/03/2021,$8.97,221405100,$8.85,$9.77,$7.89
02/02/2021,$7.82,462775900,$9.48,$10.1,$6
02/01/2021,$13.3,434608000,$17,$17.25,$12.91
01/29/2021,$13.26,602193300,$14.31,$16,$11.6
01/28/2021,$8.63,591223900,$11.98,$16.5,$6.51
01/27/2021,$19.9,1253254000,$20.34,$20.36,$11.01
01/26/2021,$4.96,456850200,$5.09,$5.19,$4.37
01/25/2021,$4.42,443238100,$4.71,$4.88,$3.85
01/22/2021,$3.51,268273400,$2.91,$3.74,$2.81
01/21/2021,$2.98,64823840,$3,$3.06,$2.85
01/20/2021,$2.97,181862200,$3.29,$3.34,$2.75
01/19/2021,$3.06,256276000,$2.8,$3.2,$2.57
01/15/2021,$2.33,162356400,$2.2,$2.55,$2.18
01/14/2021,$2.18,49638790,$2.22,$2.32,$2.13
01/13/2021,$2.18,45847660,$2.33,$2.38,$2.13
01/12/2021,$2.29,41784330,$2.24,$2.39,$2.235
01/11/2021,$2.2,41695840,$2.16,$2.27,$2.15
01/08/2021,$2.14,39553340,$2.09,$2.211,$2.07
01/07/2021,$2.05,26150490,$2.08,$2.11,$2.02
01/06/2021,$2.01,67363340,$2.03,$2.23,$1.97
01/05/2021,$1.98,28148310,$1.99,$2.03,$1.91
01/04/2021,$2.01,29873800,$2.2,$2.2,$2
12/31/2020,$2.12,28234250,$2.17,$2.22,$2.08
12/30/2020,$2.16,40278440,$2.3,$2.3,$2.13
12/29/2020,$2.29,21086150,$2.44,$2.46,$2.28
12/28/2020,$2.39,23942700,$2.63,$2.63,$2.36
